tick,timestamp,position,cash,pnl,trades_executed
1,1746060061.6625762,0,0.0,0.0,0
2,1746060061.664812,-2,199.96,-0.03999999999999204,1
3,1746060061.665775,-2,199.96,-0.03999999999999204,1
4,1746060061.6663098,-2,199.96,-0.03999999999999204,1
5,1746060061.666653,-2,199.96,-0.03999999999999204,1
6,1746060061.66704,-2,199.96,-0.03999999999999204,1
7,1746060061.6671848,-2,199.96,-0.03999999999999204,1
8,1746060061.6672902,-2,199.96,-0.03999999999999204,1
9,1746060061.667443,-2,199.96,-0.05999999999997385,1
10,1746060061.667584,-2,199.96,-0.04999999999998295,1
11,1746060061.667701,-2,199.96,-0.020000000000010232,1
12,1746060061.667796,-2,199.96,0.03999999999999204,1
13,1746060061.667871,-2,199.96,0.030000000000001137,1
14,1746060061.6680892,-2,199.96,0.060000000000002274,1
15,1746060061.6683211,-2,199.96,0.06999999999999318,1
16,1746060061.668458,-2,199.96,0.06999999999999318,1
17,1746060061.668751,-2,199.96,0.09999999999999432,1
18,1746060061.668874,-2,199.96,0.12000000000000455,1
19,1746060061.669023,-2,199.96,0.12000000000000455,1
20,1746060061.6691499,-2,199.96,0.2600000000000193,1
21,1746060061.6692429,-2,199.96,0.2600000000000193,1
22,1746060061.669368,-2,199.96,0.2600000000000193,1
23,1746060061.669513,-2,199.96,0.28000000000000114,1
24,1746060061.6696231,-2,199.96,0.28000000000000114,1
25,1746060061.669743,-2,199.96,0.28000000000000114,1
26,1746060061.669856,-2,199.96,0.3400000000000034,1
27,1746060061.670024,-2,199.96,0.3800000000000239,1
28,1746060061.670124,-2,199.96,0.46999999999999886,1
29,1746060061.670222,-2,199.96,0.4900000000000091,1
30,1746060061.670343,-2,199.96,0.5300000000000011,1
31,1746060061.6704268,-2,199.96,0.6099999999999852,1
32,1746060061.670562,-2,199.96,0.6400000000000148,1
33,1746060061.670696,-2,199.96,0.6400000000000148,1
34,1746060061.670783,-2,199.96,0.710000000000008,1
35,1746060061.6708999,-2,199.96,0.799999999999983,1
36,1746060061.671009,-2,199.96,0.8900000000000148,1
37,1746060061.6711109,-2,199.96,1.0000000000000284,1
38,1746060061.6712,-2,199.96,1.0200000000000102,1
39,1746060061.6713212,-2,199.96,1.0300000000000011,1
40,1746060061.67144,-2,199.96,1.1400000000000148,1
41,1746060061.6715488,-2,199.96,1.0700000000000216,1
42,1746060061.671681,-2,199.96,1.200000000000017,1
43,1746060061.671798,-2,199.96,1.3599999999999852,1
44,1746060061.6719291,-2,199.96,1.5699999999999932,1
45,1746060061.672045,-2,199.96,1.4199999999999875,1
46,1746060061.672199,-2,199.96,1.6100000000000136,1
47,1746060061.672341,-2,199.96,1.4399999999999977,1
48,1746060061.672499,-2,199.96,1.5800000000000125,1
49,1746060061.672585,-2,199.96,1.6599999999999966,1
50,1746060061.672673,-2,199.96,1.700000000000017,1
51,1746060061.672801,-2,199.96,1.700000000000017,1
52,1746060061.673992,-2,199.96,1.7600000000000193,1
53,1746060061.674272,-2,199.96,1.6799999999999784,1
54,1746060061.6744561,-2,199.96,1.6799999999999784,1
55,1746060061.6747258,-2,199.96,1.6799999999999784,1
56,1746060061.674907,-2,199.96,1.710000000000008,1
57,1746060061.6750422,-2,199.96,1.7199999999999989,1
58,1746060061.675146,-2,199.96,1.7600000000000193,1
59,1746060061.675235,-2,199.96,1.789999999999992,1
60,1746060061.675358,-2,199.96,1.8400000000000034,1
61,1746060061.675652,-2,199.96,1.8499999999999943,1
62,1746060061.675877,-2,199.96,1.799999999999983,1
63,1746060061.67614,-2,199.96,1.7800000000000011,1
64,1746060061.676262,-2,199.96,1.7800000000000011,1
65,1746060061.6764412,-2,199.96,1.8800000000000239,1
66,1746060061.676573,-2,199.96,1.8800000000000239,1
67,1746060061.676694,-2,199.96,1.8499999999999943,1
68,1746060061.6773582,-2,199.96,1.8400000000000034,1
69,1746060061.677571,-2,199.96,1.8599999999999852,1
70,1746060061.67772,-2,199.96,1.7600000000000193,1
71,1746060061.6778822,-8,793.96,1.2799999999999727,2
72,1746060061.67807,-8,793.96,0.9600000000000364,2
73,1746060061.6781719,-8,793.96,0.7200000000000273,2
74,1746060061.678324,-8,793.96,0.6400000000001,2
75,1746060061.678796,-8,793.96,0.5600000000000591,2
76,1746060061.679151,-15,1487.54,0.7399999999997817,4
77,1746060061.679554,-15,1487.54,1.9400000000000546,4
78,1746060061.679701,-15,1487.54,2.089999999999918,4
79,1746060061.6798239,-15,1487.54,2.3900000000001,4
80,1746060061.679944,-15,1487.54,2.1649999999999636,4
81,1746060061.680086,-15,1487.54,2.6149999999997817,4
82,1746060061.680244,-15,1487.54,2.7649999999998727,4
83,1746060061.680385,-15,1487.54,2.6149999999997817,4
84,1746060061.680513,-15,1487.54,2.7649999999998727,4
85,1746060061.680732,-15,1487.54,2.5399999999999636,4
86,1746060061.680922,-15,1487.54,2.5399999999999636,4
87,1746060061.681033,-15,1487.54,2.6149999999997817,4
88,1746060061.681172,-15,1487.54,2.689999999999827,4
89,1746060061.681352,-15,1487.54,2.689999999999827,4
90,1746060061.6815841,-15,1487.54,2.7649999999998727,4
91,1746060061.6818821,-15,1487.54,2.9149999999999636,4
92,1746060061.6820211,-15,1487.54,2.990000000000009,4
93,1746060061.682275,-15,1487.54,3.1399999999998727,4
94,1746060061.6824472,-15,1487.54,2.3900000000001,4
95,1746060061.682577,-15,1487.54,3.8900000000001,4
96,1746060061.682745,-15,1487.54,3.4400000000000546,4
97,1746060061.682985,-15,1487.54,2.689999999999827,4
98,1746060061.683224,-15,1487.54,3.290000000000191,4
99,1746060061.6834428,-15,1487.54,4.115000000000009,4
100,1746060061.683688,-15,1487.54,4.190000000000055,4
