tick,timestamp,position,cash,pnl,trades_executed
1,1746060061.6625762,0,0.0,0.0,0
2,1746060061.664812,15,-1500.3,-0.2999999999999545,2
3,1746060061.665775,15,-1500.3,-0.2999999999999545,2
4,1746060061.6663098,15,-1500.3,-0.2999999999999545,2
5,1746060061.666653,15,-1500.3,-0.2999999999999545,2
6,1746060061.66704,15,-1500.3,-0.2999999999999545,2
7,1746060061.6671848,15,-1500.3,-0.2999999999999545,2
8,1746060061.6672902,15,-1500.3,-0.2999999999999545,2
9,1746060061.667443,15,-1500.3,-0.15000000000009095,2
10,1746060061.667584,15,-1500.3,-0.22500000000013642,2
11,1746060061.667701,15,-1500.3,-0.4499999999998181,2
12,1746060061.667796,15,-1500.3,-0.8999999999998636,2
13,1746060061.667871,15,-1500.3,-0.8249999999998181,2
14,1746060061.6680892,15,-1500.3,-1.0499999999999545,2
15,1746060061.6683211,15,-1500.3,-1.1249999999997726,2
16,1746060061.668458,15,-1500.3,-1.1249999999997726,2
17,1746060061.668751,15,-1500.3,-1.349999999999909,2
18,1746060061.668874,-2,197.76,-2.0800000000000125,4
19,1746060061.669023,0,-2.240000000000009,-2.240000000000009,5
20,1746060061.6691499,0,-2.240000000000009,-2.240000000000009,5
21,1746060061.6692429,0,-2.240000000000009,-2.240000000000009,5
22,1746060061.669368,18,-1799.72,-2.4200000000000728,7
23,1746060061.669513,18,-1799.72,-2.599999999999909,7
24,1746060061.6696231,18,-1799.72,-2.599999999999909,7
25,1746060061.669743,3,-302.41999999999985,-2.8999999999998636,8
26,1746060061.669856,-2,196.68000000000018,-2.939999999999827,9
27,1746060061.670024,-2,196.68000000000018,-2.8999999999998067,9
28,1746060061.670124,-2,196.68000000000018,-2.8099999999998317,9
29,1746060061.670222,-2,196.68000000000018,-2.7899999999998215,9
30,1746060061.670343,-2,196.68000000000018,-2.7499999999998295,9
31,1746060061.6704268,-2,196.68000000000018,-2.6699999999998454,9
32,1746060061.670562,-2,196.68000000000018,-2.639999999999816,9
33,1746060061.670696,-2,196.68000000000018,-2.639999999999816,9
34,1746060061.670783,-2,196.68000000000018,-2.5699999999998226,9
35,1746060061.6708999,-2,196.68000000000018,-2.4799999999998477,9
36,1746060061.671009,-2,196.68000000000018,-2.389999999999816,9
37,1746060061.6711109,-2,196.68000000000018,-2.279999999999802,9
38,1746060061.6712,-2,196.68000000000018,-2.2599999999998204,9
39,1746060061.6713212,-2,196.68000000000018,-2.2499999999998295,9
40,1746060061.67144,-2,196.68000000000018,-2.139999999999816,9
41,1746060061.6715488,-2,196.68000000000018,-2.209999999999809,9
42,1746060061.671681,-2,196.68000000000018,-2.0799999999998136,9
43,1746060061.671798,-2,196.68000000000018,-1.9199999999998454,9
44,1746060061.6719291,-2,196.68000000000018,-1.7099999999998374,9
45,1746060061.672045,-2,196.68000000000018,-1.8599999999998431,9
46,1746060061.672199,-2,196.68000000000018,-1.669999999999817,9
47,1746060061.672341,12,-1193.06,-1.9399999999998272,12
48,1746060061.672499,12,-1193.06,-2.7799999999999727,12
49,1746060061.672585,12,-1193.06,-3.2599999999997635,12
50,1746060061.672673,12,-1193.06,-3.5,12
51,1746060061.672801,12,-1193.06,-3.5,12
52,1746060061.673992,12,-1193.06,-3.8600000000001273,12
53,1746060061.674272,12,-1193.06,-3.3799999999996544,12
54,1746060061.6744561,12,-1193.06,-3.3799999999996544,12
55,1746060061.6747258,12,-1193.06,-3.3799999999996544,12
56,1746060061.674907,1,-103.16999999999985,-4.044999999999845,14
57,1746060061.6750422,1,-103.16999999999985,-4.049999999999841,14
58,1746060061.675146,1,-103.16999999999985,-4.069999999999851,14
59,1746060061.675235,1,-103.16999999999985,-4.084999999999837,14
60,1746060061.675358,1,-103.16999999999985,-4.109999999999843,14
61,1746060061.675652,1,-103.16999999999985,-4.114999999999839,14
62,1746060061.675877,1,-103.16999999999985,-4.089999999999833,14
63,1746060061.67614,1,-103.16999999999985,-4.079999999999842,14
64,1746060061.676262,1,-103.16999999999985,-4.079999999999842,14
65,1746060061.6764412,1,-103.16999999999985,-4.129999999999853,14
66,1746060061.676573,1,-103.16999999999985,-4.129999999999853,14
67,1746060061.676694,1,-103.16999999999985,-4.114999999999839,14
68,1746060061.6773582,1,-103.16999999999985,-4.109999999999843,14
69,1746060061.677571,1,-103.16999999999985,-4.119999999999834,14
70,1746060061.67772,1,-103.16999999999985,-4.069999999999851,14
71,1746060061.6778822,1,-103.16999999999985,-4.084999999999837,14
72,1746060061.67807,1,-103.16999999999985,-4.044999999999845,14
73,1746060061.6781719,1,-103.16999999999985,-4.014999999999844,14
74,1746060061.678324,1,-103.16999999999985,-4.004999999999853,14
75,1746060061.678796,1,-103.16999999999985,-3.9949999999998482,14
