mid_price,best_bid,best_ask,spread,timestamp,tick
100.0,99.98,100.02,0.03999999999999204,1746060061.6625762,1
100.0,99.98,100.02,0.03999999999999204,1746060061.664812,2
100.0,99.98,100.02,0.03999999999999204,1746060061.665775,3
100.0,99.98,100.02,0.03999999999999204,1746060061.6663098,4
100.0,99.98,100.02,0.03999999999999204,1746060061.666653,5
100.0,99.98,100.02,0.03999999999999204,1746060061.66704,6
100.0,99.98,100.02,0.03999999999999204,1746060061.6671848,7
100.0,99.98,100.02,0.03999999999999204,1746060061.6672902,8
100.00999999999999,100.0,100.02,0.01999999999999602,1746060061.667443,9
100.005,99.99000000000001,100.02,0.029999999999986926,1746060061.667584,10
99.99000000000001,99.96000000000001,100.02,0.05999999999998806,1746060061.667701,11
99.96000000000001,99.92,100.0,0.0799999999999983,1746060061.667796,12
99.965,99.94,99.99000000000001,0.05000000000001137,1746060061.667871,13
99.95,99.92,99.98,0.060000000000002274,1746060061.6680892,14
99.94500000000001,99.9,99.99000000000001,0.09000000000000341,1746060061.6683211,15
99.94500000000001,99.93,99.96000000000001,0.030000000000001137,1746060061.668458,16
99.93,99.9,99.96000000000001,0.060000000000002274,1746060061.668751,17
99.92,99.86,99.98,0.12000000000000455,1746060061.668874,18
99.92,99.84,100.0,0.1599999999999966,1746060061.669023,19
99.85,99.84,99.86,0.01999999999999602,1746060061.6691499,20
99.85,99.84,99.86,0.01999999999999602,1746060061.6692429,21
99.85,99.84,99.86,0.01999999999999602,1746060061.669368,22
99.84,99.82000000000001,99.86,0.03999999999999204,1746060061.669513,23
99.84,99.8,99.88,0.0799999999999983,1746060061.6696231,24
99.84,99.8,99.88,0.0799999999999983,1746060061.669743,25
99.81,99.76,99.86,0.09999999999999432,1746060061.669856,26
99.78999999999999,99.72,99.86,0.14000000000000057,1746060061.670024,27
99.745,99.72,99.77,0.04999999999999716,1746060061.670124,28
99.735,99.72,99.75,0.030000000000001137,1746060061.670222,29
99.715,99.68,99.75,0.06999999999999318,1746060061.670343,30
99.67500000000001,99.65,99.7,0.04999999999999716,1746060061.6704268,31
99.66,99.62,99.7,0.0799999999999983,1746060061.670562,32
99.66,99.62,99.7,0.0799999999999983,1746060061.670696,33
99.625,99.55,99.7,0.15000000000000568,1746060061.670783,34
99.58000000000001,99.46000000000001,99.7,0.23999999999999488,1746060061.6708999,35
99.535,99.52,99.55,0.030000000000001137,1746060061.671009,36
99.47999999999999,99.41,99.55,0.14000000000000057,1746060061.6711109,37
99.47,99.39,99.55,0.1599999999999966,1746060061.6712,38
99.465,99.38,99.55,0.1700000000000017,1746060061.6713212,39
99.41,99.38,99.44,0.060000000000002274,1746060061.67144,40
99.445,99.34,99.55,0.20999999999999375,1746060061.6715488,41
99.38,99.34,99.42,0.0799999999999983,1746060061.671681,42
99.30000000000001,99.18,99.42,0.23999999999999488,1746060061.671798,43
99.19500000000001,99.18,99.21000000000001,0.030000000000001137,1746060061.6719291,44
99.27000000000001,99.12,99.42,0.29999999999999716,1746060061.672045,45
99.175,99.16,99.19,0.030000000000001137,1746060061.672199,46
99.26,99.10000000000001,99.42,0.3199999999999932,1746060061.672341,47
99.19,99.10000000000001,99.28,0.1799999999999926,1746060061.672499,48
99.15,99.10000000000001,99.2,0.09999999999999432,1746060061.672585,49
99.13,99.08,99.18,0.10000000000000853,1746060061.672673,50
99.13,99.08,99.18,0.10000000000000853,1746060061.672801,51
99.1,99.08,99.12,0.04000000000000625,1746060061.673992,52
99.14000000000001,99.10000000000001,99.18,0.0799999999999983,1746060061.674272,53
99.14000000000001,99.10000000000001,99.18,0.0799999999999983,1746060061.6744561,54
99.14000000000001,99.10000000000001,99.18,0.0799999999999983,1746060061.6747258,55
99.125,99.07000000000001,99.18,0.10999999999999943,1746060061.674907,56
99.12,99.07000000000001,99.17,0.09999999999999432,1746060061.6750422,57
99.1,99.08,99.12,0.04000000000000625,1746060061.675146,58
99.08500000000001,99.07000000000001,99.10000000000001,0.030000000000001137,1746060061.675235,59
99.06,99.05,99.07000000000001,0.020000000000010232,1746060061.675358,60
99.055,99.04,99.07000000000001,0.030000000000001137,1746060061.675652,61
99.08000000000001,99.04,99.12,0.0799999999999983,1746060061.675877,62
99.09,99.04,99.14,0.09999999999999432,1746060061.67614,63
99.09,99.04,99.14,0.09999999999999432,1746060061.676262,64
99.03999999999999,99.02,99.06,0.04000000000000625,1746060061.6764412,65
99.03999999999999,99.02,99.06,0.04000000000000625,1746060061.676573,66
99.055,99.05,99.06,0.010000000000005116,1746060061.676694,67
99.06,99.0,99.12,0.12000000000000455,1746060061.6773582,68
99.05000000000001,99.0,99.10000000000001,0.10000000000000853,1746060061.677571,69
99.1,99.08,99.12,0.04000000000000625,1746060061.67772,70
99.08500000000001,99.0,99.17,0.1700000000000017,1746060061.6778822,71
99.125,99.12,99.13,0.009999999999990905,1746060061.67807,72
99.155,99.16,99.15,-0.009999999999990905,1746060061.6781719,73
99.16499999999999,99.16,99.17,0.010000000000005116,1746060061.678324,74
99.175,99.16,99.19,0.030000000000001137,1746060061.678796,75
99.12,99.04,99.2,0.1599999999999966,1746060061.679151,76
99.03999999999999,99.0,99.08,0.0799999999999983,1746060061.679554,77
99.03,99.0,99.06,0.060000000000002274,1746060061.679701,78
99.00999999999999,99.0,99.02,0.01999999999999602,1746060061.6798239,79
99.025,99.0,99.05,0.04999999999999716,1746060061.679944,80
98.995,98.98,99.01,0.030000000000001137,1746060061.680086,81
98.98500000000001,98.98,98.99000000000001,0.010000000000005116,1746060061.680244,82
98.995,98.98,99.01,0.030000000000001137,1746060061.680385,83
98.98500000000001,98.96000000000001,99.01,0.04999999999999716,1746060061.680513,84
99.0,98.96000000000001,99.04,0.0799999999999983,1746060061.680732,85
99.0,98.96000000000001,99.04,0.0799999999999983,1746060061.680922,86
98.995,98.95,99.04,0.09000000000000341,1746060061.681033,87
98.99000000000001,98.94,99.04,0.10000000000000853,1746060061.681172,88
98.99000000000001,98.94,99.04,0.10000000000000853,1746060061.681352,89
98.98500000000001,98.93,99.04,0.10999999999999943,1746060061.6815841,90
98.975,98.91,99.04,0.13000000000000966,1746060061.6818821,91
98.97,98.9,99.04,0.14000000000000057,1746060061.6820211,92
98.96000000000001,98.9,99.02,0.11999999999999034,1746060061.682275,93
99.00999999999999,99.0,99.02,0.01999999999999602,1746060061.6824472,94
98.91,98.9,98.92,0.01999999999999602,1746060061.682577,95
98.94,98.9,98.98,0.0799999999999983,1746060061.682745,96
98.99000000000001,98.98,99.0,0.01999999999999602,1746060061.682985,97
98.94999999999999,98.88,99.02,0.14000000000000057,1746060061.683224,98
98.895,98.88,98.91,0.030000000000001137,1746060061.6834428,99
98.89,98.87,98.91,0.03999999999999204,1746060061.683688,100
