price,volume
98.87,6
98.86,105
98.85000000000001,15
98.84,99
98.83,30
98.82000000000001,45
98.8,30
98.79,15
98.78,45
98.76,45
98.75,15
98.74000000000001,45
98.73,15
98.72,45
98.71000000000001,5
98.7,8
98.69,15
98.68,30
98.67,15
98.66,15
98.62,15
98.60000000000001,15
98.58,15
98.57000000000001,15
98.54,7
98.52,15
98.47,9
98.45,2
98.38,15
98.34,10
98.27,8
98.22,3
98.16,3
97.97,3
97.93,10
97.78,9
97.60000000000001,9
97.58,2
97.44,7
97.41,4
97.37,13
97.36,3
97.15,1
