tick,timestamp,position,cash,pnl,trades_executed
1,1746060061.6625762,0,0.0,0.0,0
2,1746060061.664812,-8,800.16,0.15999999999996817,1
3,1746060061.665775,7,-700.14,-0.13999999999998636,2
4,1746060061.6663098,-19,1899.94,-0.05999999999994543,6
5,1746060061.666653,4,-399.91999999999996,0.08000000000004093,10
6,1746060061.66704,-15,1501.5000000000005,1.5000000000004547,14
7,1746060061.6671848,15,-1497.8999999999994,2.100000000000591,17
8,1746060061.6672902,0,2.100000000000591,2.100000000000591,18
9,1746060061.667443,0,2.100000000000591,2.100000000000591,18
10,1746060061.667584,16,-1597.6799999999994,2.4000000000005457,20
11,1746060061.667701,16,-1597.3699999999994,2.4700000000007094,24
12,1746060061.667796,1,-97.96999999999935,1.9900000000006628,25
13,1746060061.667871,0,2.5500000000006366,2.5500000000006366,27
14,1746060061.6680892,24,-2395.919999999999,2.8800000000010186,30
15,1746060061.6683211,0,2.5600000000010823,2.5600000000010823,33
16,1746060061.668458,0,2.5600000000010823,2.5600000000010823,33
17,1746060061.668751,24,-2394.9799999999987,3.3400000000015098,36
18,1746060061.668874,-15,1503.1600000000014,4.360000000001492,40
19,1746060061.669023,7,-695.4999999999985,3.9400000000015325,43
20,1746060061.6691499,7,-695.4999999999985,3.4500000000014097,43
21,1746060061.6692429,0,3.3800000000014734,3.3800000000014734,47
22,1746060061.669368,11,-1094.3599999999983,3.9900000000016007,52
23,1746060061.669513,21,-2092.569999999998,4.070000000001983,56
24,1746060061.6696231,0,3.890000000001919,3.890000000001919,60
25,1746060061.669743,0,4.490000000001828,4.490000000001828,62
26,1746060061.669856,17,-1691.8299999999983,4.940000000001646,67
27,1746060061.670024,12,-1192.8499999999985,4.630000000001473,71
28,1746060061.670124,1,-96.22999999999854,3.5150000000014643,73
29,1746060061.670222,31,-3087.0899999999983,4.695000000001528,77
30,1746060061.670343,31,-3087.6899999999987,3.4750000000012733,79
31,1746060061.6704268,20,-1991.209999999999,2.290000000001328,81
32,1746060061.670562,27,-2688.699999999999,2.1200000000008004,85
33,1746060061.670696,27,-2689.2999999999993,1.5200000000004366,88
34,1746060061.670783,20,-1991.0599999999993,1.4400000000007367,90
35,1746060061.6708999,5,-497.9599999999991,-0.059999999999035936,91
36,1746060061.671009,18,-1790.7599999999993,0.870000000000573,93
37,1746060061.6711109,18,-1791.9599999999996,-1.319999999999709,95
38,1746060061.6712,43,-4277.159999999999,0.050000000001091394,99
39,1746060061.6713212,58,-5768.209999999999,0.7600000000011278,104
40,1746060061.67144,43,-4277.959999999999,-3.3299999999990177,105
41,1746060061.6715488,39,-3880.2599999999984,-1.9049999999988358,109
42,1746060061.671681,24,-2391.209999999998,-6.0899999999983265,110
43,1746060061.671798,29,-2889.009999999998,-9.309999999997672,116
44,1746060061.6719291,14,-1401.309999999998,-12.57999999999788,118
45,1746060061.672045,10,-1004.9799999999982,-12.279999999998154,122
46,1746060061.672199,7,-707.1299999999983,-12.904999999998267,124
47,1746060061.672341,-1,85.79000000000212,-13.469999999997881,128
48,1746060061.672499,14,-1402.509999999998,-13.84999999999809,129
49,1746060061.672585,-1,84.29000000000224,-14.859999999997768,130
50,1746060061.672673,29,-2888.5599999999977,-13.78999999999769,133
51,1746060061.672801,14,-1402.0599999999974,-14.239999999997508,134
52,1746060061.673992,-1,84.14000000000244,-14.95999999999755,136
53,1746060061.674272,-16,1570.9400000000023,-15.299999999997908,138
54,1746060061.6744561,6,-609.5399999999977,-14.699999999997544,141
55,1746060061.6747258,-9,877.2600000000025,-14.999999999997613,142
56,1746060061.674907,17,-1699.7299999999975,-14.604999999997517,145
57,1746060061.6750422,2,-213.2299999999973,-14.98999999999728,146
58,1746060061.675146,2,-213.2299999999973,-15.029999999997301,146
59,1746060061.675235,3,-312.02999999999724,-14.774999999997249,148
60,1746060061.675358,4,-410.2199999999973,-13.97999999999729,154
61,1746060061.675652,-11,1075.5000000000027,-14.10499999999729,156
62,1746060061.675877,7,-707.9999999999974,-14.439999999997326,160
63,1746060061.67614,7,-707.9199999999973,-14.289999999997349,164
64,1746060061.676262,11,-1104.0799999999972,-14.08999999999719,169
65,1746060061.6764412,12,-1203.0799999999974,-14.599999999997408,173
66,1746060061.676573,-3,282.2200000000025,-14.899999999997476,174
67,1746060061.676694,24,-2391.6399999999976,-14.319999999997435,177
68,1746060061.6773582,9,-905.4399999999977,-13.899999999997704,182
69,1746060061.677571,-5,481.16000000000247,-14.089999999997588,184
70,1746060061.67772,10,-1003.8399999999975,-12.83999999999753,185
71,1746060061.6778822,-5,482.36000000000263,-13.06499999999744,189
72,1746060061.67807,-5,482.36000000000263,-13.264999999997372,189
73,1746060061.6781719,-5,482.36000000000263,-13.414999999997349,189
74,1746060061.678324,-5,482.0600000000027,-13.764999999997258,192
75,1746060061.678796,-16,1573.0200000000023,-13.779999999997699,196
76,1746060061.679151,14,-1401.199999999998,-13.519999999997935,201
77,1746060061.679554,-1,84.08000000000209,-14.959999999997905,204
78,1746060061.679701,14,-1401.219999999998,-14.799999999997908,205
79,1746060061.6798239,6,-609.219999999998,-15.159999999998035,207
80,1746060061.679944,3,-312.36999999999784,-15.294999999997799,210
81,1746060061.680086,14,-1401.3699999999978,-15.43999999999778,211
82,1746060061.680244,8,-807.4899999999977,-15.609999999997626,214
83,1746060061.680385,-8,776.3100000000022,-15.649999999997817,217
84,1746060061.680513,59,-5855.719999999998,-15.604999999997744,226
85,1746060061.680732,31,-3083.139999999999,-14.139999999998963,230
86,1746060061.680922,16,-1598.7399999999989,-14.739999999998872,231
87,1746060061.681033,40,-3973.9300000000003,-14.13000000000011,237
88,1746060061.681172,25,-2489.7200000000003,-14.970000000000255,239
89,1746060061.681352,25,-2489.7200000000003,-14.970000000000255,242
90,1746060061.6815841,15,-1500.2700000000002,-15.495000000000118,245
91,1746060061.6818821,10,-1005.9200000000003,-16.1700000000003,248
92,1746060061.6820211,10,-1005.8200000000002,-16.12000000000012,251
93,1746060061.682275,-5,479.17999999999984,-15.620000000000232,252
94,1746060061.6824472,10,-1004.1700000000001,-14.070000000000164,253
95,1746060061.682577,13,-1302.13,-16.300000000000182,255
96,1746060061.682745,-5,478.60999999999984,-16.090000000000146,259
97,1746060061.682985,20,-1994.69,-14.889999999999873,261
98,1746060061.683224,5,-510.1300000000002,-15.38000000000028,266
99,1746060061.6834428,19,-1894.3600000000001,-15.355000000000246,268
100,1746060061.683688,19,-1894.5099999999998,-15.599999999999682,270
