tick,timestamp,position,cash,pnl,trades_executed
1,1746060061.6625762,0,0.0,0.0,0
2,1746060061.664812,0,0.0,0.0,0
3,1746060061.665775,0,0.0,0.0,0
4,1746060061.6663098,0,0.0,0.0,0
5,1746060061.666653,0,0.0,0.0,0
6,1746060061.66704,0,0.0,0.0,0
7,1746060061.6671848,0,0.0,0.0,0
8,1746060061.6672902,0,0.0,0.0,0
9,1746060061.667443,0,0.0,0.0,0
10,1746060061.667584,0,0.0,0.0,0
11,1746060061.667701,0,0.0,0.0,0
12,1746060061.667796,0,0.0,0.0,0
13,1746060061.667871,12,-1199.88,-0.3000000000001819,1
14,1746060061.6680892,12,-1199.88,-0.4800000000000182,1
15,1746060061.6683211,12,-1199.88,-0.5399999999999636,1
16,1746060061.668458,12,-1199.88,-0.5399999999999636,1
17,1746060061.668751,12,-1199.88,-0.7200000000000273,1
18,1746060061.668874,25,-2499.4400000000005,-1.4400000000005093,3
19,1746060061.669023,25,-2499.4400000000005,-1.4400000000005093,3
20,1746060061.6691499,25,-2499.4400000000005,-3.1900000000005093,3
21,1746060061.6692429,25,-2499.4400000000005,-3.1900000000005093,3
22,1746060061.669368,25,-2499.4400000000005,-3.1900000000005093,3
23,1746060061.669513,25,-2499.4400000000005,-3.4400000000005093,3
24,1746060061.6696231,25,-2499.4400000000005,-3.4400000000005093,3
25,1746060061.669743,25,-2499.4400000000005,-3.4400000000005093,3
26,1746060061.669856,25,-2499.4400000000005,-4.190000000000509,3
27,1746060061.670024,25,-2499.4400000000005,-4.690000000000509,3
28,1746060061.670124,25,-2499.4400000000005,-5.815000000000509,3
29,1746060061.670222,25,-2499.4400000000005,-6.065000000000509,3
30,1746060061.670343,25,-2499.4400000000005,-6.565000000000509,3
31,1746060061.6704268,25,-2499.4400000000005,-7.565000000000055,3
32,1746060061.670562,18,-1802.1000000000004,-8.220000000000482,4
33,1746060061.670696,18,-1802.1000000000004,-8.220000000000482,4
34,1746060061.670783,2,-209.22000000000037,-9.970000000000368,6
35,1746060061.6708999,2,-209.22000000000037,-10.060000000000343,6
36,1746060061.671009,2,-209.22000000000037,-10.150000000000375,6
37,1746060061.6711109,2,-209.22000000000037,-10.260000000000389,6
38,1746060061.6712,-8,784.6799999999996,-11.080000000000382,7
39,1746060061.6713212,-8,784.6799999999996,-11.040000000000418,7
40,1746060061.67144,-1,88.59999999999968,-10.810000000000315,8
41,1746060061.6715488,-1,88.59999999999968,-10.845000000000312,8
42,1746060061.671681,-1,88.59999999999968,-10.780000000000314,8
43,1746060061.671798,-1,88.59999999999968,-10.70000000000033,8
44,1746060061.6719291,-1,88.59999999999968,-10.595000000000326,8
45,1746060061.672045,-1,88.59999999999968,-10.670000000000329,8
46,1746060061.672199,-1,88.59999999999968,-10.575000000000315,8
47,1746060061.672341,-1,88.59999999999968,-10.660000000000323,8
48,1746060061.672499,-1,88.59999999999968,-10.590000000000316,8
49,1746060061.672585,-1,88.59999999999968,-10.550000000000324,8
50,1746060061.672673,-1,88.59999999999968,-10.530000000000314,8
51,1746060061.672801,-1,88.59999999999968,-10.530000000000314,8
52,1746060061.673992,9,-902.6000000000004,-10.700000000000387,9
53,1746060061.674272,29,-2885.3,-10.239999999999782,11
54,1746060061.6744561,29,-2885.3,-10.239999999999782,11
55,1746060061.6747258,29,-2885.3,-10.239999999999782,11
56,1746060061.674907,29,-2885.3,-10.675000000000182,11
57,1746060061.6750422,29,-2885.3,-10.820000000000164,11
58,1746060061.675146,29,-2885.3,-11.400000000000546,11
59,1746060061.675235,29,-2885.3,-11.835000000000036,11
60,1746060061.675358,29,-2885.3,-12.559999999999945,11
61,1746060061.675652,29,-2885.3,-12.704999999999927,11
62,1746060061.675877,29,-2885.3,-11.980000000000018,11
63,1746060061.67614,13,-1300.6600000000003,-12.490000000000236,13
64,1746060061.676262,9,-904.5000000000003,-12.690000000000282,15
65,1746060061.6764412,9,-904.5000000000003,-13.140000000000441,15
66,1746060061.676573,9,-904.5000000000003,-13.140000000000441,15
67,1746060061.676694,9,-904.5000000000003,-13.005000000000223,15
68,1746060061.6773582,9,-904.5000000000003,-12.960000000000377,15
69,1746060061.677571,9,-904.5000000000003,-13.050000000000296,15
