tick,timestamp,position,cash,pnl,trades_executed
1,1746060061.6625762,0,0.0,0.0,0
2,1746060061.664812,0,0.0,0.0,0
3,1746060061.665775,-13,1299.74,-0.2599999999999909,1
4,1746060061.6663098,-13,1299.74,-0.2599999999999909,1
5,1746060061.666653,-21,2099.58,-0.42000000000007276,2
6,1746060061.66704,-21,2099.58,-0.42000000000007276,2
7,1746060061.6671848,-21,2099.58,-0.42000000000007276,2
8,1746060061.6672902,-21,2099.58,-0.42000000000007276,2
9,1746060061.667443,-21,2099.58,-0.6300000000001091,2
10,1746060061.667584,-21,2099.58,-0.525000000000091,2
11,1746060061.667701,-21,2099.58,-0.21000000000003638,2
12,1746060061.667796,-21,2099.58,0.419999999999618,2
13,1746060061.667871,-21,2099.58,0.31500000000005457,2
14,1746060061.6680892,-21,2099.58,0.6299999999996544,2
15,1746060061.6683211,-21,2099.58,0.7349999999996726,2
16,1746060061.668458,-21,2099.58,0.7349999999996726,2
17,1746060061.668751,-21,2099.58,1.0499999999997272,2
18,1746060061.668874,-21,2099.58,1.2599999999997635,2
19,1746060061.669023,-21,2099.58,1.2599999999997635,2
20,1746060061.6691499,-21,2099.58,2.730000000000018,2
21,1746060061.6692429,-21,2099.58,2.730000000000018,2
22,1746060061.669368,-21,2099.58,2.730000000000018,2
23,1746060061.669513,-21,2099.58,2.9400000000000546,2
24,1746060061.6696231,-21,2099.58,2.9400000000000546,2
25,1746060061.669743,-21,2099.58,2.9400000000000546,2
26,1746060061.669856,-22,2199.4,3.5799999999999272,3
27,1746060061.670024,-22,2199.4,4.020000000000437,3
28,1746060061.670124,-26,2598.28,4.910000000000309,4
29,1746060061.670222,-26,2598.28,5.170000000000073,4
30,1746060061.670343,-26,2598.28,5.690000000000055,4
31,1746060061.6704268,-26,2598.28,6.730000000000018,4
32,1746060061.670562,-26,2598.28,7.120000000000346,4
33,1746060061.670696,-26,2598.28,7.120000000000346,4
34,1746060061.670783,-26,2598.28,8.0300000000002,4
35,1746060061.6708999,-26,2598.28,9.199999999999818,4
36,1746060061.671009,-26,2598.28,10.370000000000346,4
37,1746060061.6711109,-26,2598.28,11.800000000000637,4
38,1746060061.6712,-26,2598.28,12.0600000000004,4
39,1746060061.6713212,-26,2598.28,12.190000000000055,4
40,1746060061.67144,-26,2598.28,13.620000000000346,4
41,1746060061.6715488,-14,1404.5600000000002,12.330000000000155,6
42,1746060061.671681,-14,1404.5600000000002,13.240000000000236,6
43,1746060061.671798,-14,1404.5600000000002,14.3599999999999,6
44,1746060061.6719291,-14,1404.5600000000002,15.830000000000155,6
45,1746060061.672045,-14,1404.5600000000002,14.779999999999973,6
46,1746060061.672199,-14,1404.5600000000002,16.110000000000127,6
47,1746060061.672341,-14,1404.5600000000002,14.920000000000073,6
48,1746060061.672499,-14,1404.5600000000002,15.900000000000318,6
49,1746060061.672585,-14,1404.5600000000002,16.460000000000036,6
50,1746060061.672673,-14,1404.5600000000002,16.740000000000236,6
51,1746060061.672801,-14,1404.5600000000002,16.740000000000236,6
52,1746060061.673992,-14,1404.5600000000002,17.16000000000031,6
53,1746060061.674272,-14,1404.5600000000002,16.59999999999991,6
54,1746060061.6744561,-25,2494.6600000000003,16.159999999999854,7
55,1746060061.6747258,-25,2494.6600000000003,16.159999999999854,7
56,1746060061.674907,-25,2494.6600000000003,16.53500000000031,7
57,1746060061.6750422,-25,2494.6600000000003,16.66000000000031,7
58,1746060061.675146,-25,2494.6600000000003,17.16000000000031,7
59,1746060061.675235,-11,1107.2600000000002,17.325000000000045,8
60,1746060061.675358,-21,2097.84,17.579999999999927,10
61,1746060061.675652,-21,2097.84,17.684999999999945,10
62,1746060061.675877,-21,2097.84,17.159999999999854,10
63,1746060061.67614,-21,2097.84,16.950000000000273,10
64,1746060061.676262,-21,2097.84,16.950000000000273,10
65,1746060061.6764412,-21,2097.84,18.000000000000455,10
66,1746060061.676573,-21,2097.84,18.000000000000455,10
67,1746060061.676694,-15,1503.48,17.654999999999973,11
68,1746060061.6773582,1,-81.67999999999995,17.380000000000052,13
69,1746060061.677571,1,-81.67999999999995,17.37000000000006,13
70,1746060061.67772,20,-1964.6600000000003,17.33999999999969,15
71,1746060061.6778822,20,-1964.6600000000003,17.039999999999964,15
