tick,timestamp,position,cash,pnl,trades_executed
1,1746060061.6625762,0,0.0,0.0,0
2,1746060061.664812,0,0.0,0.0,0
3,1746060061.665775,0,0.0,0.0,0
4,1746060061.6663098,0,0.0,0.0,0
5,1746060061.666653,0,0.0,0.0,0
6,1746060061.66704,0,0.0,0.0,0
7,1746060061.6671848,0,0.0,0.0,0
8,1746060061.6672902,0,0.0,0.0,0
9,1746060061.667443,0,0.0,0.0,0
10,1746060061.667584,0,0.0,0.0,0
11,1746060061.667701,0,0.0,0.0,0
12,1746060061.667796,0,0.0,0.0,0
13,1746060061.667871,0,0.0,0.0,0
14,1746060061.6680892,0,0.0,0.0,0
15,1746060061.6683211,0,0.0,0.0,0
16,1746060061.668458,0,0.0,0.0,0
17,1746060061.668751,0,0.0,0.0,0
18,1746060061.668874,0,0.0,0.0,0
19,1746060061.669023,0,0.0,0.0,0
20,1746060061.6691499,0,0.0,0.0,0
21,1746060061.6692429,0,0.0,0.0,0
22,1746060061.669368,0,0.0,0.0,0
23,1746060061.669513,0,0.0,0.0,0
24,1746060061.6696231,0,0.0,0.0,0
25,1746060061.669743,0,0.0,0.0,0
26,1746060061.669856,0,0.0,0.0,0
27,1746060061.670024,0,0.0,0.0,0
28,1746060061.670124,0,0.0,0.0,0
29,1746060061.670222,0,0.0,0.0,0
30,1746060061.670343,0,0.0,0.0,0
31,1746060061.6704268,0,0.0,0.0,0
32,1746060061.670562,0,0.0,0.0,0
33,1746060061.670696,0,0.0,0.0,0
34,1746060061.670783,0,0.0,0.0,0
35,1746060061.6708999,0,0.0,0.0,0
36,1746060061.671009,2,-199.1,-0.030000000000001137,1
37,1746060061.6711109,2,-199.1,-0.14000000000001478,1
38,1746060061.6712,2,-199.1,-0.1599999999999966,1
39,1746060061.6713212,2,-199.1,-0.1699999999999875,1
40,1746060061.67144,2,-199.1,-0.28000000000000114,1
41,1746060061.6715488,2,-199.1,-0.21000000000000796,1
42,1746060061.671681,2,-199.1,-0.3400000000000034,1
43,1746060061.671798,11,-1091.72,0.5800000000001546,2
44,1746060061.6719291,11,-1091.72,-0.5750000000000455,2
45,1746060061.672045,11,-1091.72,0.25,2
46,1746060061.672199,11,-1091.72,-0.7950000000000728,2
47,1746060061.672341,11,-1091.72,0.14000000000010004,2
48,1746060061.672499,11,-1091.72,-0.6300000000001091,2
49,1746060061.672585,11,-1091.72,-1.0699999999999363,2
50,1746060061.672673,11,-1091.72,-1.290000000000191,2
51,1746060061.672801,11,-1091.72,-1.290000000000191,2
52,1746060061.673992,11,-1091.72,-1.6200000000001182,2
53,1746060061.674272,11,-1091.72,-1.1799999999998363,2
54,1746060061.6744561,11,-1091.72,-1.1799999999998363,2
55,1746060061.6747258,11,-1091.72,-1.1799999999998363,2
56,1746060061.674907,11,-1091.72,-1.3450000000000273,2
57,1746060061.6750422,11,-1091.72,-1.3999999999998636,2
58,1746060061.675146,11,-1091.72,-1.6200000000001182,2
59,1746060061.675235,11,-1091.72,-1.7849999999998545,2
60,1746060061.675358,11,-1091.72,-2.0599999999999454,2
61,1746060061.675652,11,-1091.72,-2.115000000000009,2
62,1746060061.675877,11,-1091.72,-1.8399999999999181,2
63,1746060061.67614,11,-1091.72,-1.7300000000000182,2
64,1746060061.676262,11,-1091.72,-1.7300000000000182,2
65,1746060061.6764412,11,-1091.72,-2.2800000000002,2
66,1746060061.676573,11,-1091.72,-2.2800000000002,2
67,1746060061.676694,11,-1091.72,-2.115000000000009,2
68,1746060061.6773582,19,-1884.48,-2.339999999999918,4
69,1746060061.677571,19,-1884.48,-2.5299999999997453,4
70,1746060061.67772,19,-1884.48,-1.5800000000001546,4
71,1746060061.6778822,19,-1884.48,-1.8649999999997817,4
72,1746060061.67807,19,-1884.48,-1.1050000000000182,4
73,1746060061.6781719,19,-1884.48,-0.5350000000000819,4
74,1746060061.678324,19,-1884.48,-0.34500000000025466,4
75,1746060061.678796,19,-1884.48,-0.15499999999997272,4
76,1746060061.679151,19,-1884.48,-1.199999999999818,4
77,1746060061.679554,19,-1884.48,-2.7200000000002547,4
78,1746060061.679701,19,-1884.48,-2.910000000000082,4
79,1746060061.6798239,19,-1884.48,-3.290000000000191,4
80,1746060061.679944,19,-1884.48,-3.0049999999998818,4
81,1746060061.680086,19,-1884.48,-3.574999999999818,4
82,1746060061.680244,19,-1884.48,-3.7649999999998727,4
83,1746060061.680385,19,-1884.48,-3.574999999999818,4
84,1746060061.680513,19,-1884.48,-3.7649999999998727,4
85,1746060061.680732,19,-1884.48,-3.480000000000018,4
86,1746060061.680922,19,-1884.48,-3.480000000000018,4
87,1746060061.681033,19,-1884.48,-3.574999999999818,4
88,1746060061.681172,19,-1884.48,-3.6699999999998454,4
89,1746060061.681352,19,-1884.48,-3.6699999999998454,4
90,1746060061.6815841,19,-1884.48,-3.7649999999998727,4
91,1746060061.6818821,19,-1884.48,-3.9550000000001546,4
92,1746060061.6820211,19,-1884.48,-4.0499999999999545,4
93,1746060061.682275,19,-1884.48,-4.239999999999782,4
94,1746060061.6824472,19,-1884.48,-3.290000000000191,4
95,1746060061.682577,19,-1884.48,-5.190000000000055,4
96,1746060061.682745,19,-1884.48,-4.620000000000118,4
97,1746060061.682985,19,-1884.48,-3.6699999999998454,4
98,1746060061.683224,19,-1884.48,-4.430000000000291,4
99,1746060061.6834428,14,-1390.08,-5.5499999999999545,5
100,1746060061.683688,14,-1390.08,-5.619999999999891,5
